ITTER107;Territorio;TIPO_DATO_AVQ;Tipo dato;MISURA_AVQ;Misura;TIME;Seleziona periodo;Value;Flag Codes;Flags
ITF4;Puglia;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2016;2016;950;;
ITF4;Puglia;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2017;2017;882;;
ITF4;Puglia;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2018;2018;1060;;
ITF4;Puglia;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2019;2019;948;;
ITF4;Puglia;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2020;2020;902;;
ITF4;Puglia;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2021;2021;1004;;
ITF4;Puglia;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2022;2022;973;;
ITE2;Umbria;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2014;2014;346;;
ITE2;Umbria;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2015;2015;364;;
ITE2;Umbria;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2016;2016;363;;
ITE2;Umbria;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2017;2017;401;;
ITE2;Umbria;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2018;2018;387;;
ITE2;Umbria;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2019;2019;401;;
ITE2;Umbria;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2020;2020;408;;
ITE2;Umbria;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2021;2021;412;;
ITE2;Umbria;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2022;2022;379;;
ITC3;Liguria;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2014;2014;28.7;;
ITC3;Liguria;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2015;2015;29;;
ITC3;Liguria;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2016;2016;31.2;;
ITC3;Liguria;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2017;2017;33.3;;
ITC3;Liguria;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2018;2018;35.6;;
ITC3;Liguria;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2019;2019;34.1;;
ITC3;Liguria;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2020;2020;35.9;;
ITC3;Liguria;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2021;2021;37.4;;
ITC3;Liguria;11_RAR_BIRRA;consuma birra più raramente;HSC;per 100 persone con le stesse caratteristiche;2022;2022;37.1;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2014;2014;2.5;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2015;2015;2.7;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2016;2016;2.8;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2017;2017;2.2;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2018;2018;2.3;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2019;2019;2;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2020;2020;2;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2021;2021;2.1;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2022;2022;2.1;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2014;2014;26.4;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2015;2015;25.7;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2016;2016;28.7;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2017;2017;27.3;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2018;2018;33.4;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2019;2019;35.3;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2020;2020;31.4;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2021;2021;35.3;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2022;2022;33.5;;
ITFG;Mezzogiorno;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2014;2014;371;;
ITFG;Mezzogiorno;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2015;2015;332;;
ITFG;Mezzogiorno;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2016;2016;324;;
ITFG;Mezzogiorno;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2017;2017;315;;
ITFG;Mezzogiorno;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2018;2018;268;;
ITFG;Mezzogiorno;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2019;2019;325;;
ITFG;Mezzogiorno;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2020;2020;346;;
ITFG;Mezzogiorno;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2021;2021;302;;
ITFG;Mezzogiorno;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2022;2022;257;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2014;2014;224;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2015;2015;236;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2016;2016;246;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2017;2017;197;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2018;2018;209;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2019;2019;181;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2020;2020;184;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2021;2021;195;;
ITC4;Lombardia;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2022;2022;189;;
IT;Italia;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2014;2014;45.2;;
IT;Italia;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2015;2015;46.4;;
IT;Italia;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2016;2016;47.8;;
IT;Italia;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2017;2017;48;;
IT;Italia;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2018;2018;50.4;;
IT;Italia;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2019;2019;50.5;;
IT;Italia;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2020;2020;51;;
IT;Italia;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2021;2021;50.4;;
IT;Italia;11_BIRRA;persone di 11 anni e più che consumano birra;HSC;per 100 persone con le stesse caratteristiche;2022;2022;51.3;;
ITF;Sud;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2014;2014;23.3;;
ITF;Sud;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2015;2015;24.5;;
ITF;Sud;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2016;2016;24.8;;
ITF;Sud;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2017;2017;25;;
ITF;Sud;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2018;2018;27.1;;
ITF;Sud;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2019;2019;26.8;;
ITF;Sud;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2020;2020;27.4;;
ITF;Sud;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2021;2021;27.7;;
ITF;Sud;11_RAR_VINO;consuma vino più raramente;HSC;per 100 persone con le stesse caratteristiche;2022;2022;29.8;;
ITF;Sud;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2014;2014;284;;
ITF;Sud;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2015;2015;253;;
ITF;Sud;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2016;2016;252;;
ITF;Sud;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2017;2017;252;;
ITF;Sud;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2018;2018;222;;
ITF;Sud;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2019;2019;255;;
ITF;Sud;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2020;2020;253;;
ITF;Sud;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2021;2021;227;;
ITF;Sud;11_PIU_VINO;più di mezzo litro di vino al giorno;THV;valori in migliaia;2022;2022;191;;
ITC4;Lombardia;11_RAR_BIRRA;consuma birra più raramente;THV;valori in migliaia;2014;2014;2452;;
ITC4;Lombardia;11_RAR_BIRRA;consuma birra più raramente;THV;valori in migliaia;2015;2015;2721;;
ITC4;Lombardia;11_RAR_BIRRA;consuma birra più raramente;THV;valori in migliaia;2016;2016;2783;;
ITC4;Lombardia;11_RAR_BIRRA;consuma birra più raramente;THV;valori in migliaia;2017;2017;2707;;
ITC4;Lombardia;11_RAR_BIRRA;consuma birra più raramente;THV;valori in migliaia;2018;2018;2903;;
ITC4;Lombardia;11_RAR_BIRRA;consuma birra più raramente;THV;valori in migliaia;2019;2019;3160;;
ITC4;Lombardia;11_RAR_BIRRA;consuma birra più raramente;THV;valori in migliaia;2020;2020;2930;;
ITC4;Lombardia;11_RAR_BIRRA;consuma birra più raramente;THV;valori in migliaia;2021;2021;2935;;
ITC4;Lombardia;11_RAR_BIRRA;consuma birra più raramente;THV;valori in migliaia;2022;2022;3053;;
ITC2;Valle d'Aosta / Vallée d'Aoste;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2014;2014;56;;
ITC2;Valle d'Aosta / Vallée d'Aoste;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2015;2015;57;;
ITC2;Valle d'Aosta / Vallée d'Aoste;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2016;2016;60;;
ITC2;Valle d'Aosta / Vallée d'Aoste;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2017;2017;60;;
ITC2;Valle d'Aosta / Vallée d'Aoste;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2018;2018;61;;
ITC2;Valle d'Aosta / Vallée d'Aoste;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2019;2019;63;;
ITC2;Valle d'Aosta / Vallée d'Aoste;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2020;2020;59;;
ITC2;Valle d'Aosta / Vallée d'Aoste;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2021;2021;61;;
ITC2;Valle d'Aosta / Vallée d'Aoste;11_BIRRA;persone di 11 anni e più che consumano birra;THV;valori in migliaia;2022;2022;61;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2014;2014;3.1;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2015;2015;2.5;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2016;2016;2.7;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2017;2017;2.9;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2018;2018;2.8;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2019;2019;2.1;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2020;2020;2;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2021;2021;2.7;;
ITE3;Marche;11_PIU_VINO;più di mezzo litro di vino al giorno;HSC;per 100 persone con le stesse caratteristiche;2022;2022;3;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2014;2014;1381;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2015;2015;1347;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2016;2016;1515;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2017;2017;1444;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2018;2018;1773;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2019;2019;1871;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2020;2020;1661;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2021;2021;1856;;
ITE4;Lazio;11_RAR_VINO;consuma vino più raramente;THV;valori in migliaia;2022;2022;1738;;
ITE;Centro;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2014;2014;5479;;
ITE;Centro;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2015;2015;5771;;
ITE;Centro;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2016;2016;5899;;
ITE;Centro;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2017;2017;5834;;
ITE;Centro;11_VINO;persone di 11 anni e più che consumano vino;THV;valori in migliaia;2018;2018;6253;;
