"TIPO_DATO_AVQ"|"Tipo dato"|"MISURA_AVQ"|"Misura"|"SEXISTAT1"|"Sesso"|"ETA1"|"Classe di età"|"TIME"|"Seleziona periodo"|"Value"|"Flag Codes"|"Flags"
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2017"|"2017"|715||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2018"|"2018"|662||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2019"|"2019"|666||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2020"|"2020"|630||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2021"|"2021"|641||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y20-24"|"20-24 anni"|"2022"|"2022"|688||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y20-24"|"20-24 anni"|"2014"|"2014"|1225||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y20-24"|"20-24 anni"|"2015"|"2015"|1228||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y20-24"|"20-24 anni"|"2016"|"2016"|1378||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y20-24"|"20-24 anni"|"2017"|"2017"|1372||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y20-24"|"20-24 anni"|"2018"|"2018"|1390||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y20-24"|"20-24 anni"|"2019"|"2019"|1415||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y20-24"|"20-24 anni"|"2020"|"2020"|1342||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y20-24"|"20-24 anni"|"2021"|"2021"|1423||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y20-24"|"20-24 anni"|"2022"|"2022"|1446||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2014"|"2014"|2204||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2015"|"2015"|2284||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2016"|"2016"|2157||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2017"|"2017"|2256||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2018"|"2018"|2220||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2019"|"2019"|2157||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2020"|"2020"|2143||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2021"|"2021"|2157||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2022"|"2022"|2004||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2014"|"2014"|480||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2015"|"2015"|436||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2016"|"2016"|459||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2017"|"2017"|433||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2018"|"2018"|342||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2019"|"2019"|343||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2020"|"2020"|312||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2021"|"2021"|299||
"11_BIC_VINO"|"1-2 bicchieri di vino al giorno"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2022"|"2022"|214||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2014"|"2014"|2668||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2015"|"2015"|2637||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2016"|"2016"|2586||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2017"|"2017"|2675||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2018"|"2018"|2635||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2019"|"2019"|2524||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2020"|"2020"|2448||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2021"|"2021"|2427||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y25-34"|"25-34 anni"|"2022"|"2022"|2271||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2014"|"2014"|1537||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2015"|"2015"|1590||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2016"|"2016"|1575||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2017"|"2017"|1575||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2018"|"2018"|1547||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2019"|"2019"|1619||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2020"|"2020"|1567||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2021"|"2021"|1565||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2022"|"2022"|1628||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2014"|"2014"|3627||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2015"|"2015"|3741||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2016"|"2016"|3547||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2017"|"2017"|3673||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2018"|"2018"|3742||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2019"|"2019"|3697||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2020"|"2020"|3687||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2021"|"2021"|3713||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2022"|"2022"|3677||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2014"|"2014"|0.1||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2015"|"2015"|0.3||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2016"|"2016"|0.2||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2017"|"2017"|0.5||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2018"|"2018"|0.3||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2019"|"2019"|0.2||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2020"|"2020"|0.6||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2021"|"2021"|0.6||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"2"|"femmine"|"Y25-34"|"25-34 anni"|"2022"|"2022"|0.6||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2014"|"2014"|1.1||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2015"|"2015"|1.1||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2016"|"2016"|0.8||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2017"|"2017"|1.3||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2018"|"2018"|0.7||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2019"|"2019"|0.9||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2020"|"2020"|1||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2021"|"2021"|0.9||
"11_PIU_VINO"|"più di mezzo litro di vino al giorno"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2022"|"2022"|1.2||
"11_RAR_VINO"|"consuma vino più raramente"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2014"|"2014"|35.2||
"11_RAR_VINO"|"consuma vino più raramente"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2015"|"2015"|38.7||
"11_RAR_VINO"|"consuma vino più raramente"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2016"|"2016"|35.5||
"11_RAR_VINO"|"consuma vino più raramente"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2017"|"2017"|37.9||
"11_RAR_VINO"|"consuma vino più raramente"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2018"|"2018"|41.1||
"11_RAR_VINO"|"consuma vino più raramente"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2019"|"2019"|41.9||
"11_RAR_VINO"|"consuma vino più raramente"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2020"|"2020"|40.2||
"11_RAR_VINO"|"consuma vino più raramente"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2021"|"2021"|41||
"11_RAR_VINO"|"consuma vino più raramente"|"HSC"|"per 100 persone con le stesse caratteristiche"|"9"|"totale"|"Y25-34"|"25-34 anni"|"2022"|"2022"|43.8||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y35-44"|"35-44 anni"|"2014"|"2014"|3131||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y35-44"|"35-44 anni"|"2015"|"2015"|3216||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y35-44"|"35-44 anni"|"2016"|"2016"|3085||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y35-44"|"35-44 anni"|"2017"|"2017"|3057||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y35-44"|"35-44 anni"|"2018"|"2018"|2928||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y35-44"|"35-44 anni"|"2019"|"2019"|2841||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y35-44"|"35-44 anni"|"2020"|"2020"|2656||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y35-44"|"35-44 anni"|"2021"|"2021"|2587||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"1"|"maschi"|"Y35-44"|"35-44 anni"|"2022"|"2022"|2522||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2014"|"2014"|1899||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2015"|"2015"|1956||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2016"|"2016"|1904||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2017"|"2017"|1880||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2018"|"2018"|2002||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2019"|"2019"|1898||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2020"|"2020"|1868||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2021"|"2021"|1824||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2022"|"2022"|1912||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2014"|"2014"|1977||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2015"|"2015"|2012||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2016"|"2016"|2025||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2017"|"2017"|1909||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2018"|"2018"|2076||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2019"|"2019"|1977||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2020"|"2020"|1988||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2021"|"2021"|1874||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"2"|"femmine"|"Y35-44"|"35-44 anni"|"2022"|"2022"|1883||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2014"|"2014"|5030||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2015"|"2015"|5171||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2016"|"2016"|4989||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2017"|"2017"|4938||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2018"|"2018"|4930||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2019"|"2019"|4739||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2020"|"2020"|4524||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2021"|"2021"|4411||
"11_VINO"|"persone di 11 anni e più che consumano vino"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2022"|"2022"|4434||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2014"|"2014"|5415||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2015"|"2015"|5421||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2016"|"2016"|5328||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2017"|"2017"|5204||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2018"|"2018"|5313||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2019"|"2019"|5090||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2020"|"2020"|4909||
"11_BIRRA"|"persone di 11 anni e più che consumano birra"|"THV"|"valori in migliaia"|"9"|"totale"|"Y35-44"|"35-44 anni"|"2021"|"2021"|4710||
